date,row_no,project_name,site,url,period_start,period_end,target_amount,support_amount,supporter_count,note
2026-08-26,81,長崎県佐世保市 パンクチュアル ベースボールイノベーション,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=bbc29105d0195e376ceb7a41196e7504,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-26,82,長崎県佐世保市 パンクチュアル シティプロモーション事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=65beb60faa24b6177cf9aa80557a65e5,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-26,83,長崎県佐世保市 パンクチュアル 子どもたちへ本を届ける,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=09a1090d2bacaee90260e0917ca0bff3,2026-07-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,57,静岡県長泉町 パンクチュアル クレマチスの丘,GCF,https://www.furusato-tax.jp/gcf/5372,2026-05-31,2026-08-28,1000000,788000,19,
2026-08-27,58,北海道札幌市 オックスベースボール 全国大会,CAMPFIRE,https://camp-fire.jp/projects/969022/view,2026-08-05,2026-08-31,500000,130000,11,
2026-08-27,59,福岡県柳川市 パンクチュアル 柳川ひまわり園,GCF,https://www.furusato-tax.jp/gcf/5762,2026-08-07,2026-09-12,3000000,78000,7,
2026-08-27,60,新潟県新発田市 パンクチュアル 300周年,GCF,https://www.furusato-tax.jp/gcf/5233,2026-07-03,2026-09-30,1200000,90000,5,
2026-08-27,61,長崎県佐世保市 パンクチュアル ダンサーが輝ける未来を,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=aca5bd80e45ad7c3642a51a0e477a030,2026-08-01,2026-09-30,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,62,愛媛県松前町 パンクチュアル エンタメフェスタ,GCF,https://www.furusato-tax.jp/gcf/5556,2026-07-13,2026-10-12,1000000,203000,12,
2026-08-27,63,長崎県佐世保市 パンクチュアル フレンズ名曲コンサート,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=c218b8fbef4f006edd39fbf34546f8cd,2026-08-01,2026-11-10,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,64,長崎県佐世保市 パンクチュアル 夜空と海風のマーケット,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=4f0303d2a062e13a229c65ea71925bf4,2026-08-01,2026-12-31,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,65,長崎県佐世保市 パンクチュアル 青少年交流事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=a4daea88d5e2dfb27b072ab34dca3ea4,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,66,長崎県佐世保市 パンクチュアル 国際交流促進補助金,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=1f9117695bd21e0b0cfa494ad2b0fc0f,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,67,長崎県佐世保市 パンクチュアル 留学生支援事業費,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=2e275e03d5bc39902151fa3cd0c3d535,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,68,長崎県佐世保市 パンクチュアル させぼ文化マンス,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=1d260f7d5d23c9ee3bcc5101a400ebcc,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,69,長崎県佐世保市 パンクチュアル させぼＪＡＺＺ,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=5a6ac28330e7b039e6c51e8e286cafc7,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,70,長崎県佐世保市 パンクチュアル 佐世保美術展,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=b7faa33b7ad53d8f650edea9d5789d31,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,71,長崎県佐世保市 パンクチュアル 子どものための芸術鑑賞体験教室,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=9876fa7dd1af4016585556b35c6af4d4,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,72,長崎県佐世保市 パンクチュアル 文化大会出場奨励金,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=ac4cf83579144d70950f2586b210bfe0,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,73,長崎県佐世保市 パンクチュアル プロジェクト応援事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=0be09af5e446b3877f04e150381339ed,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,75,長崎県佐世保市 パンクチュアル 子ども美術展,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=60284778488a9a54b54ab8d6ae9d929f,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,76,長崎県佐世保市 パンクチュアル SASEBO STREET MIX開催事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=a0b78f6f6bd9c32843b6c6524f1c3fbd,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,77,長崎県佐世保市 パンクチュアル させぼスポーツマンス事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=c2c68607d52fa9252b5a6fc696ce9460,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,78,長崎県佐世保市 パンクチュアル スポーツ大会出場奨励金,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=c2934b69c04f38ad0705cecafabc97b7,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,79,長崎県佐世保市 パンクチュアル 小学生応援事業＆V-DREAM,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=0f0355fd2df16cabadde2f6af2b5f2fb,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,80,長崎県佐世保市 パンクチュアル スポーツ施設整備事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=a34269b7bb5d016327a602b5d75ebbde,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,81,長崎県佐世保市 パンクチュアル ベースボールイノベーション,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=bbc29105d0195e376ceb7a41196e7504,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,82,長崎県佐世保市 パンクチュアル シティプロモーション事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=65beb60faa24b6177cf9aa80557a65e5,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-27,83,長崎県佐世保市 パンクチュアル 子どもたちへ本を届ける,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=09a1090d2bacaee90260e0917ca0bff3,2026-07-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,57,静岡県長泉町 パンクチュアル クレマチスの丘,GCF,https://www.furusato-tax.jp/gcf/5372,2026-05-31,2026-08-28,1000000,1338000,21,
2026-08-28,58,北海道札幌市 オックスベースボール 全国大会,CAMPFIRE,https://camp-fire.jp/projects/969022/view,2026-08-05,2026-08-31,500000,130000,11,
2026-08-28,59,福岡県柳川市 パンクチュアル 柳川ひまわり園,GCF,https://www.furusato-tax.jp/gcf/5762,2026-08-07,2026-09-12,3000000,108000,8,
2026-08-28,60,新潟県新発田市 パンクチュアル 300周年,GCF,https://www.furusato-tax.jp/gcf/5233,2026-07-03,2026-09-30,1200000,90000,5,
2026-08-28,61,愛媛県松前町 パンクチュアル エンタメフェスタ,GCF,https://www.furusato-tax.jp/gcf/5556,2026-07-13,2026-10-12,1000000,203000,12,
2026-08-28,62,長崎県佐世保市 パンクチュアル 青少年交流事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=a4daea88d5e2dfb27b072ab34dca3ea4,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,63,長崎県佐世保市 パンクチュアル 国際交流促進補助金,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=1f9117695bd21e0b0cfa494ad2b0fc0f,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,64,長崎県佐世保市 パンクチュアル 留学生支援事業費,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=2e275e03d5bc39902151fa3cd0c3d535,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,65,長崎県佐世保市 パンクチュアル させぼ文化マンス,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=1d260f7d5d23c9ee3bcc5101a400ebcc,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,66,長崎県佐世保市 パンクチュアル させぼＪＡＺＺ,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=5a6ac28330e7b039e6c51e8e286cafc7,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,67,長崎県佐世保市 パンクチュアル 佐世保美術展,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=b7faa33b7ad53d8f650edea9d5789d31,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,68,長崎県佐世保市 パンクチュアル 子どものための芸術鑑賞体験教室,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=9876fa7dd1af4016585556b35c6af4d4,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,69,長崎県佐世保市 パンクチュアル 文化大会出場奨励金,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=ac4cf83579144d70950f2586b210bfe0,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,70,長崎県佐世保市 パンクチュアル プロジェクト応援事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=0be09af5e446b3877f04e150381339ed,2026-08-01,2027-02-28,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,71,長崎県佐世保市 パンクチュアル 子ども美術展,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=60284778488a9a54b54ab8d6ae9d929f,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,72,長崎県佐世保市 パンクチュアル SASEBO STREET MIX開催事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=a0b78f6f6bd9c32843b6c6524f1c3fbd,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,73,長崎県佐世保市 パンクチュアル させぼスポーツマンス事業,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=c2c68607d52fa9252b5a6fc696ce9460,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,74,長崎県佐世保市 パンクチュアル スポーツ大会出場奨励金,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=c2934b69c04f38ad0705cecafabc97b7,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
2026-08-28,75,長崎県佐世保市 パンクチュアル 小学生応援事業＆V-DREAM,独自サイト,https://furusato-sasebo.jp/crowdfunding/detail.php?id=0f0355fd2df16cabadde2f6af2b5f2fb,2026-08-01,2027-03-29,,,,サイトがHTTP 403でアクセスをブロック（要手動確認）
